Date,Sensex_Return,Brazil_Returm,Crude_Return,DAX_Return,Dow_Jones_Return,Euro.INR_Return,Euro_Stoxx_Return,FTSE_Return,Gold_Return,VIX_Return,Jpn.INR_Return,NASDAQ_Return,Nifty_Return,S.P_Return,Usd.INR_Return,Movement,China_Return,Singapore_Return,Hong_Kong_Return,Nikkei_Return,Philippines_Return,Australia_Return,Shangai_Return,KOSPI_Return
21/03/2016,0.011158807,-0.001947017,-0.018905473,0.005923859,0.006910738,-0.007850782,0.005477967,-0.001851278,-0.013482843,-0.027167458,-0.00518308,0.004328814,0.012219553,0.004405589,-0.003602522,0,0.005016971,0.005794894,0.006750751,-0.013084828,0.016187326,0.002883015,0.021587916,0.001472717
22/03/2016,0.0133304,0.007023367,0.011916836,-0.000217068,0.001225408,-0.000828716,-0.003595041,-0.000817495,-0.006759149,-0.003052037,-0.001680672,0.002756665,0.013137218,0.000985568,0.001807773,0,0.022232854,-0.007107235,0.001293262,0.003172281,0.003525364,-0.00416739,0.007779188,-0.002941103
23/03/2016,0.001784431,-0.003153315,0.03858682,0.004157352,-0.002343413,0.00169894,0.000806883,0.001319411,0.009964851,0.005969692,0,0.002659668,0.001382354,-0.000877364,0.003909774,0,-0.0077756,0.00132763,-0.006533568,0.00761396,-0.008840771,0.000988085,-0.003484773,0.001555155
28/03/2016,0.00027911,-0.025879927,-0.040048251,0.003296296,-0.004548823,-0.000327192,-0.00288736,0.001028624,-0.028447484,-0.005173463,0.002693603,-0.010950585,0.000207391,-0.006385989,0.002546435,1,0.004622805,-0.008277714,-0.006533568,0.010604424,0.006583665,0.000988085,0.010760436,-0.003078762
29/03/2016,-0.014648609,0.023779744,-0.001773948,0.003296296,0.00112242,-0.000629845,-0.00288736,0.001028624,-0.001724083,0.0697461,-0.006598985,-0.001407769,-0.013140673,0.000545203,-0.003291935,1,-0.010959559,-0.005250071,-0.003147571,-0.008406079,-0.004304209,-0.011298446,-0.010475199,0.001007592
30/03/2016,-0.00264115,0.006230744,-0.028179741,0.003714212,0.00557273,0.004961481,0.006073532,-9.50E-05,0.002775106,0.008721762,0.003236246,0.016747119,-0.002376857,0.008816671,-0.003452935,0,-0.006330343,0.001142285,0.007805234,0.005460611,-0.003343833,-0.015676016,-0.005238931,0.009215221
31/03/2016,0.017594856,0.001836185,0.001044932,0.016046821,0.004738245,0.004156409,0.013055473,0.015930493,0.006616797,-0.047058824,0.00237691,0.004677487,0.018191391,0.004350344,0,0,0.022010091,-0.002475648,0.012947885,-0.004736495,0.004135934,0.001158957,0.023170657,0.000239373
01/04/2016,0.000129447,-0.023291223,0.000521921,-0.008072375,-0.001781939,0.001886893,-0.012867514,-0.004557347,-0.001730458,-0.013386881,-0.003218157,0.000115006,0.000413693,-0.002039778,-0.001807773,1,-0.00101103,-0.004225755,-0.001214715,-0.016330983,-0.007606114,0.014470191,-0.004080588,-0.005459386
04/04/2016,-0.00284983,0.01011402,-0.040427752,-0.017146137,0.006087614,0.002374068,-0.01718842,-0.00467214,-0.018916662,0.041911654,0.010025489,0.009176874,-0.003275871,0.006330896,0.001660127,0,-0.00101103,0.002042075,-0.001214715,-0.037788076,-0.003874136,-0.016408279,-0.004080588,-0.010046271
05/04/2016,0.005144909,-0.035235089,-0.029627616,0.002801532,-0.003133299,-0.003559284,0.003047459,0.003037723,0.005257094,0.009984083,-0.001009421,-0.004627086,0.005931506,-0.003208252,-0.003917433,1,0.004568281,-0.005618415,-0.022819008,-0.002705784,0.003284707,-0.000820098,0.001284579,-0.001190036
